miRNA	A10_SM385B	A11_SM385B	A12_SM385B	A13_SM385B	A14_SM385B	A1_SM385B	A2_SM385B	A3_SM385B	A4_SM385B	A5_SM385B	A6_SM385B	A7_SM385B	A8_SM385B	A9_SM385B	B10_SM385B	B11_SM385B	B12_SM385B	B13_SM385B	B1_SM385B	B2_SM385B	B3_SM385B	B4_SM385B	B5_SM385B	B6_SM385B	B7_SM385B	B8_SM385B	B9_SM385B	C1_SM385B	C2_SM385B	C3_SM385B	C4_SM385B	C5_SM385B	C6_SM385B
hsa-miR-6732-3p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6732-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6733-3p	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-6733-5p	12	7	29	11	15	0	39	4	6	9	18	11	1	10	5	1	18	0	7	0	21	17	12	52	1	57	63	1	20	3	0	0	4
hsa-miR-6734-3p	11	1	2	0	0	0	0	0	0	0	3	0	1	31	1	0	0	4	0	21	0	0	0	0	0	7	1	0	0	1	0	0	0
hsa-miR-6734-5p	2	0	0	2	5	2	3	1	0	1	0	1	1	2	3	0	0	0	7	3	0	4	1	38	2	6	0	0	0	0	0	0	0
hsa-miR-6735-3p	0	7	22	4	2	0	9	0	0	2	0	2	1	4	3	0	4	0	6	2	2	3	0	59	2	9	1	0	0	0	0	0	0
hsa-miR-6735-5p	4	0	0	0	1	0	2	0	10	2	3	0	1	0	2	0	0	0	0	4	0	0	0	75	6	8	0	0	0	1	0	0	0
hsa-miR-6736-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6736-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6737-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-6737-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6738-3p	1	23	0	0	0	0	0	0	0	1	0	5	0	0	1	0	6	0	0	9	0	0	0	0	0	3	0	0	0	1	8	0	0
hsa-miR-6738-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6739-3p	0	0	0	0	4	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	2	2	18	0	0	0	0	0	2
hsa-miR-6739-5p	0	0	1	0	1	0	0	0	0	0	2	2	20	0	0	4	0	0	1	0	3	0	8	0	3	0	0	0	0	0	0	0	1
hsa-miR-6740-3p	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
hsa-miR-6740-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6741-3p	14	0	0	0	1	0	7	0	2	0	0	9	3	0	0	0	0	0	2	0	0	2	1	0	1	0	27	0	0	4	0	0	0
hsa-miR-6741-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6742-3p	2	1	0	1	0	0	0	0	1	0	17	2	0	7	1	0	0	0	0	6	1	2	0	1	1	4	1	0	0	0	0	0	0
hsa-miR-6742-5p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6743-3p	13	30	1	4	0	6	9	15	5	6	14	14	37	1	0	0	0	0	3	3	11	4	9	106	7	14	36	0	0	0	0	5	0
hsa-miR-6743-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6744-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6744-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-6745	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	13	0	0	2	19	0	0	2	0	0	0
hsa-miR-6746-3p	11	0	0	4	0	0	0	0	3	0	3	1	1	0	5	0	10	0	8	10	0	1	3	0	2	22	1	0	0	0	0	0	1
hsa-miR-6746-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6747-3p	4	26	38	7	0	0	13	16	12	0	6	6	3	10	4	3	11	11	9	3	13	6	5	43	8	53	19	3	9	0	4	0	1
hsa-miR-6747-5p	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6748-3p	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6748-5p	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6749-3p	11	0	0	0	0	0	0	0	2	1	0	0	0	3	2	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0
hsa-miR-6749-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-675-3p	17	12	3	9	2	0	0	1	0	1	10	0	1	1	1	0	3	0	0	5	0	0	6	47	2	9	67	0	0	0	2	0	0
hsa-miR-675-5p	5	2	1	0	5	0	0	2	1	0	8	2	0	2	0	5	0	0	10	1	6	10	0	26	1	0	0	2	0	0	0	0	1
hsa-miR-6750-3p	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	13	2	5	0	0	12	0	0	0	0	0	0	0	0	0	0
hsa-miR-6750-5p	0	0	13	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6751-3p	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6751-5p	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
hsa-miR-6752-3p	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6752-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6753-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6753-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6754-3p	2	1	3	1	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0
hsa-miR-6754-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6755-3p	13	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6755-5p	0	25	7	2	0	0	0	4	5	1	8	7	6	0	0	5	6	0	1	15	0	1	2	0	0	17	61	0	0	2	0	0	0
hsa-miR-6756-3p	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1
hsa-miR-6756-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6757-3p	0	0	1	4	0	0	7	0	0	0	0	2	0	0	2	0	0	0	0	17	0	0	0	0	0	5	7	0	0	3	0	0	1
hsa-miR-6757-5p	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0
hsa-miR-6758-3p	0	3	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6758-5p	45	3	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6759-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6759-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4
hsa-miR-676-3p	13	30	37	18	15	2	42	12	14	1	27	23	10	52	11	40	101	14	12	36	17	16	40	86	13	143	80	0	3	15	13	2	7
hsa-miR-676-5p	5	13	1	4	0	3	12	2	7	1	1	7	0	0	0	2	2	1	3	3	0	0	11	0	6	1	29	1	1	0	0	0	1
hsa-miR-6760-3p	2	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	22	28	0	0	0	0	0	5
hsa-miR-6760-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6761-3p	2	0	0	0	0	0	1	0	0	0	5	1	0	0	0	0	0	0	0	56	1	0	0	0	0	0	0	0	0	0	2	0	4
hsa-miR-6761-5p	10	0	3	4	0	0	2	2	9	0	16	5	0	65	2	0	3	0	2	0	3	5	0	3	0	0	24	2	7	0	18	3	0
hsa-miR-6762-3p	18	1	9	11	12	2	2	2	0	3	5	8	0	17	5	0	0	3	7	1	5	15	2	128	2	38	15	1	0	2	1	5	0
hsa-miR-6762-5p	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	16	0	0	0	13	0	1
hsa-miR-6763-3p	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6763-5p	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	32	0	2	0	0	0	0	0	0	4
hsa-miR-6764-3p	1	8	1	0	0	0	0	1	1	0	0	2	0	36	5	0	0	0	2	0	4	0	0	81	0	0	17	0	0	0	11	0	1
hsa-miR-6764-5p	28	4	4	3	0	3	20	1	0	0	5	9	1	5	0	11	0	10	0	0	0	6	0	70	1	42	1	0	0	1	0	0	2
hsa-miR-6765-3p	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6765-5p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6766-3p	2	0	15	11	1	1	3	4	4	2	5	5	7	60	1	5	16	0	4	28	13	5	6	15	5	39	81	0	0	0	0	6	0
hsa-miR-6766-5p	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	0	0	0	0
hsa-miR-6767-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6767-5p	2	5	12	0	0	0	1	0	0	0	0	3	0	0	0	0	0	4	1	20	0	1	0	0	1	2	0	0	0	0	13	0	0
hsa-miR-6768-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6768-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769b-3p	1	11	1	0	0	1	18	0	1	0	7	2	0	0	0	0	2	0	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0
hsa-miR-6769b-5p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6770-3p	0	0	23	0	4	1	15	0	7	1	7	0	0	0	5	0	5	0	5	15	3	0	0	0	6	53	3	3	0	0	0	0	2
hsa-miR-6770-5p	2	35	41	5	0	7	2	2	1	2	6	14	3	50	1	1	0	7	1	4	1	0	11	104	5	16	20	0	0	2	1	0	1
hsa-miR-6771-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6771-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6772-3p	3	6	0	4	0	0	1	0	2	1	0	0	0	2	8	0	0	2	0	1	3	0	2	69	0	2	0	0	0	0	0	0	0
hsa-miR-6772-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6773-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6773-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6774-3p	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6774-5p	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6775-3p	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0
hsa-miR-6775-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6776-3p	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6776-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6777-3p	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	7	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0
hsa-miR-6777-5p	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6778-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0
hsa-miR-6778-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6779-3p	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	2	38	0	0	0	0	0	0
hsa-miR-6779-5p	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6780a-3p	0	16	4	0	0	0	9	8	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6780a-5p	0	7	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	4	0	2
hsa-miR-6780b-3p	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
hsa-miR-6780b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6781-3p	7	0	0	6	0	1	0	1	0	0	2	0	0	0	3	0	0	0	0	0	1	0	5	0	0	1	32	0	0	0	0	0	2
hsa-miR-6781-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6782-3p	0	0	1	0	0	0	0	10	2	0	0	2	3	0	0	0	0	0	1	9	1	6	1	0	0	7	1	0	0	0	5	0	4
hsa-miR-6782-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6783-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6783-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6784-3p	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0
hsa-miR-6784-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6785-3p	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	0	0	0	2	0	0
hsa-miR-6785-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6786-3p	41	4	42	7	2	0	7	5	2	1	15	8	1	2	4	0	0	4	4	1	0	3	1	23	3	5	1	0	0	2	0	0	5
hsa-miR-6786-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6787-3p	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6787-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6788-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0
hsa-miR-6788-5p	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6789-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6789-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6790-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6790-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6791-3p	0	18	0	0	0	0	0	0	3	0	0	0	0	18	0	10	0	0	4	1	0	10	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6791-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6792-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-6792-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	2	0	0	2	0	0	0
hsa-miR-6793-3p	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	3	0	1	0	3	0	0	14	0	0	0	0	0	0	0
hsa-miR-6793-5p	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6794-3p	20	8	0	9	7	2	2	0	3	1	5	9	0	0	8	0	14	3	7	11	12	15	0	0	9	53	1	0	7	0	0	0	5
hsa-miR-6794-5p	7	0	0	0	0	0	5	0	1	0	1	6	0	38	0	0	0	0	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6795-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
hsa-miR-6795-5p	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6796-3p	0	0	21	0	0	0	0	0	0	0	1	6	2	0	0	0	0	0	4	0	0	0	0	0	0	18	1	0	0	0	9	0	0
hsa-miR-6796-5p	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6797-3p	0	3	1	0	0	3	1	3	1	0	2	0	0	1	2	0	0	0	4	0	1	0	0	10	3	0	0	0	0	0	0	0	1
hsa-miR-6797-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6798-3p	1	16	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	4	3	3	1	0	0	1	3	1	0	0	0	0	0	3
hsa-miR-6798-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6799-3p	0	0	0	2	0	0	2	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	10	0	0	0	2	0	0
hsa-miR-6799-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-6800-3p	2	0	0	0	0	0	1	5	0	0	1	0	0	0	4	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-6800-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6801-3p	4	0	0	0	2	0	6	1	0	0	4	0	0	0	0	14	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	2
hsa-miR-6801-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6802-3p	12	8	25	5	5	0	5	2	5	3	6	11	1	2	3	0	11	11	10	18	1	7	11	42	0	0	18	0	1	0	2	0	1
hsa-miR-6802-5p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6803-3p	106	56	34	26	11	23	37	25	20	5	127	44	12	127	50	55	29	17	31	122	25	36	29	216	29	113	173	3	12	0	2	1	21
hsa-miR-6803-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6804-3p	0	0	0	0	0	0	12	1	2	0	0	0	0	0	0	0	7	0	0	0	1	0	0	24	0	0	0	0	0	0	0	0	0
hsa-miR-6804-5p	0	0	1	3	0	0	0	6	0	0	6	3	0	0	0	0	0	0	2	0	1	3	0	0	3	0	0	0	1	0	2	0	1
hsa-miR-6805-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6805-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6806-3p	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	23	3	0	0	0	0	18	1	0	2	0	0	0	0
hsa-miR-6806-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6807-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6807-5p	10	1	0	2	7	0	4	0	2	0	0	0	0	20	0	0	0	0	5	0	1	3	0	60	0	2	14	0	0	0	12	0	0
hsa-miR-6808-3p	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6808-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6809-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6809-5p	0	0	0	1	2	0	0	0	0	0	4	0	0	37	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
hsa-miR-6810-3p	4	0	0	6	0	0	1	0	0	2	0	2	0	0	0	0	1	0	1	5	3	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6810-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6811-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6811-5p	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6812-3p	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	3	0
hsa-miR-6812-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6813-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6813-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6814-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6814-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
